"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Memphis Grizzlies",76,241,43.5,94.3,0.462,11.4,32.6,0.349,32.1,61.7,0.521,17,23.2,0.733,14.2,35.4,49.6,25.7,9.8,6.6,13.2,19.7,115.4
"2",2,"Minnesota Timberwolves",76,241.3,41.5,91,0.456,14.7,41.4,0.356,26.8,49.6,0.539,17.7,22.8,0.777,11.3,33.3,44.6,25.5,8.7,5.6,14.3,21.7,115.4
"3",3,"Phoenix Suns",75,240.7,43.7,89.6,0.488,11.7,31.6,0.37,32,58,0.553,16.2,20.3,0.799,9.6,35.6,45.2,27.4,8.5,4.5,12.9,19.7,115.3
"4",4,"Milwaukee Bucks",74,240.7,41.5,89.1,0.466,14.3,38.7,0.368,27.2,50.3,0.541,17.7,22.8,0.775,10.2,36.6,46.8,23.6,7.5,4,13.5,18.2,114.9
"5",5,"Charlotte Hornets",76,242.6,42.4,91.7,0.463,13.9,38.4,0.363,28.5,53.3,0.535,15.9,21.6,0.737,11,33.9,44.9,27.6,8.6,4.9,13.2,19.9,114.7
"6",6,"Utah Jazz",75,240.3,40.5,86.1,0.47,14.7,40.5,0.363,25.8,45.6,0.566,17.6,22.6,0.777,10.6,35.5,46.1,22.3,7.2,4.9,14.1,18.9,113.3
"7",7,"Atlanta Hawks",75,240.3,41.3,88.2,0.469,12.7,34.1,0.372,28.7,54.1,0.53,17.9,22.1,0.812,10,33.8,43.8,24.5,7.1,4.4,12,18.6,113.2
"8",8,"San Antonio Spurs",75,241.7,43.4,93.4,0.465,11.2,31.9,0.35,32.3,61.5,0.525,14.9,19.9,0.751,11.4,34.2,45.5,28,7.6,5.1,12.7,18.1,113
"9",9,"Brooklyn Nets",75,240.7,41.8,88.4,0.474,11.2,31.6,0.355,30.6,56.8,0.539,17.3,21.6,0.8,10.3,33.8,44.1,25.2,7.1,5.4,13.9,20.2,112.2
"10",10,"Denver Nuggets",76,241.3,41.3,86.2,0.479,12.8,36.1,0.354,28.6,50.2,0.569,16.5,20.8,0.792,9.2,34.9,44.1,27.6,7.2,3.7,14.4,19.8,111.8
"11",11,"Los Angeles Lakers",74,243.7,41.7,89,0.468,12.2,34.8,0.351,29.5,54.2,0.544,16,22,0.727,9.6,34.4,44,24.2,7.7,5.4,14.6,20.2,111.6
"12",12,"Chicago Bulls",75,240.3,41.7,86.8,0.48,10.8,29.1,0.37,30.9,57.7,0.536,17.3,21.3,0.812,8.5,33.9,42.5,24,7.1,4.2,12.8,18.8,111.5
"13",13,"Boston Celtics",76,243,40.3,87.3,0.462,12.9,36.8,0.352,27.4,50.5,0.542,17.2,21,0.818,10.6,35.6,46.2,24.3,7.2,6,13.6,18.5,110.8
"14",14,"Golden State Warriors",76,240.7,40.4,86.6,0.467,14.3,39.7,0.36,26.2,46.9,0.558,15.7,20.5,0.765,9.8,35.6,45.5,26.9,8.9,4.6,14.8,20.9,110.8
"15",15,"Indiana Pacers",76,242.6,41.2,89.3,0.462,12,35.2,0.342,29.2,54.1,0.54,16.2,21.2,0.763,11.2,33.1,44.2,25.1,6.9,5.6,14.5,20.3,110.7
"16",16,"Sacramento Kings",76,241.6,40.6,88.5,0.459,11.6,33.6,0.345,29.1,55,0.529,17.6,22.9,0.769,9.8,33.3,43.1,23.6,7.2,4.4,14.2,19,110.4
"17",17,"Miami Heat",76,242.3,39.4,85.1,0.463,13.3,35.7,0.374,26.1,49.4,0.528,17.2,21.1,0.812,10.1,33.9,44,25.5,7.4,3.3,14.6,20.6,109.3
"18",18,"Houston Rockets",76,241,39.1,86,0.455,13.4,38.5,0.349,25.7,47.5,0.54,17.5,24.5,0.714,9.4,32.6,42,23.5,7.3,4.7,16.6,20.4,109.2
"19",19,"Toronto Raptors",75,242.3,40.6,91.3,0.445,11.9,34,0.35,28.7,57.2,0.501,16.1,21.3,0.755,13.5,31.9,45.4,22,8.9,4.7,12.4,19.8,109.1
"20",20,"New Orleans Pelicans",75,241,40.1,88,0.456,10.7,32.3,0.333,29.3,55.7,0.527,17.9,22.7,0.788,11.8,33.7,45.5,25,8.1,4.1,14.1,19.9,108.8
"21",21,"Philadelphia 76ers",74,241.7,39.1,84.7,0.461,11.3,31.5,0.358,27.8,53.2,0.522,19.4,23.7,0.82,8.6,33.8,42.4,23.1,7.6,5.3,12.3,19.4,108.8
"22",22,"Washington Wizards",74,242,40.3,86,0.468,10.5,30.8,0.34,29.8,55.2,0.54,17.3,22,0.786,9,34.1,43.2,24.7,6.4,5,13.1,19,108.3
"23",23,"Portland Trail Blazers",75,240.7,38.9,87.5,0.444,12.8,36.9,0.347,26.1,50.7,0.515,16.9,22.2,0.76,10.7,32.9,43.5,22.8,7.9,4.5,14.2,20.8,107.4
"24",24,"Cleveland Cavaliers",75,240.7,39.5,84.6,0.467,11.5,32.8,0.35,28,51.8,0.541,16.7,21.9,0.761,10.3,34.1,44.4,25.2,7.1,4.2,14.6,17.2,107.2
"25",25,"Los Angeles Clippers",75,241,39.6,87.4,0.453,12.3,33.7,0.364,27.3,53.6,0.509,15.2,19.3,0.789,9.1,34.9,44,23.6,7.4,4.9,13.9,18.6,106.7
"26",26,"Dallas Mavericks",75,241,39,85.5,0.456,12.7,37.1,0.343,26.3,48.3,0.544,15.9,20.8,0.766,9.4,33.7,43.1,23.1,6.8,4,12.5,19.8,106.7
"27",27,"New York Knicks",76,241.3,37.6,86.3,0.436,13.1,36.7,0.356,24.5,49.5,0.495,18,24.2,0.746,11.6,34.7,46.3,21.6,6.9,4.8,13.3,20.5,106.3
"28",28,"Detroit Pistons",75,241.3,38,88.5,0.429,11.1,34.2,0.324,26.9,54.3,0.495,17.2,22.1,0.78,11,32.2,43.2,23.1,7.6,4.8,14.3,22.1,104.3
"29",29,"Orlando Magic",76,241.3,38.2,88.2,0.434,12,36.4,0.329,26.2,51.8,0.507,15.7,19.9,0.789,9.2,35.2,44.3,23.6,6.8,4.5,14.6,19.8,104.1
"30",30,"Oklahoma City Thunder",75,241.7,38.2,89.3,0.428,12.1,37.6,0.321,26.2,51.7,0.506,15.2,19.9,0.765,10.3,35.4,45.7,22.1,7.7,4.6,13.9,18.3,103.8
"31",NA,"League Average",75,241.4,40.5,88.1,0.459,12.4,35.2,0.352,28.1,53,0.531,16.8,21.7,0.774,10.4,34.2,44.6,24.5,7.6,4.7,13.8,19.6,110.2
