"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","58","13920",".468","14.9",NA,".618",".248",".165",".113",".092",".382",NA,".523",".669",".423",".439",".415",".377",NA,".531",".736",NA,".059","280",NA,".240","668",NA,".218",".392",NA,"13","1"
"3","2","Boston Celtics","60","14600",".453","15.4",NA,".582",".208",".199",".089",".085",".418",NA,".532",".723",".448",".395",".408",".344",NA,".491",".820",NA,".052","247",NA,".272","814",NA,".229",".380",NA,"9","0"
"4","3","Brooklyn Nets","59","14210",".467","13.8",NA,".640",".254",".166",".126",".095",".360",NA,".532",".639",".429",".492",".481",".351",NA,".543",".752",NA,".048","217",NA,".264","730",NA,".232",".362",NA,"3","0"
"5","4","Chicago Bulls","59","14185",".483","14.0",NA,".658",".258",".144",".130",".125",".342",NA,".539",".674",".446",".466",".441",".376",NA,".484",".850",NA,".050","231",NA,".248","731",NA,".274",".441",NA,"11","1"
"6","5","Charlotte Hornets","60","14575",".456","14.0",NA,".584",".277",".182",".075",".050",".416",NA,".528",".679",".381",".387",".431",".356",NA,".540",".862",NA,".073","360",NA,".285","828",NA,".278",".358",NA,"13","0"
"7","6","Cleveland Cavaliers","58","13920",".466","13.9",NA,".609",".277",".178",".098",".056",".391",NA,".540",".693",".407",".427",".401",".353",NA,".558",".826",NA,".079","344",NA,".239","654",NA,".235",".344",NA,"8","1"
"8","7","Dallas Mavericks","59","14235",".455","15.3",NA,".570",".201",".170",".120",".079",".430",NA,".539",".719",".455",".449",".399",".343",NA,".513",".802",NA,".061","268",NA,".196","582",NA,".250",".394",NA,"11","0"
"9","8","Denver Nuggets","58","13970",".473","14.6",NA,".578",".228",".199",".079",".072",".422",NA,".559",".740",".453",".431",".420",".355",NA,".575",".850",NA,".054","241",NA,".267","790",NA,".257",".388",NA,"17","0"
"10","9","Detroit Pistons","58","13970",".421","14.1",NA,".609",".244",".208",".082",".076",".391",NA,".486",".634",".415",".332",".371",".320",NA,".491",".883",NA,".036","167",NA,".308","838",NA,".253",".353",NA,"16","0"
"11","10","Golden State Warriors","59","14210",".466","15.6",NA,".536",".207",".199",".067",".063",".464",NA,".557",".697",".518",".401",".387",".362",NA,".606",".798",NA,".061","285",NA,".280","838",NA,".217",".352",NA,"18","1"
"12","11","Houston Rockets","58","13945",".451","14.1",NA,".550",".308",".178",".034",".031",".450",NA,".539",".683",".379",".292",".289",".343",NA,".493",".792",NA,".085","370",NA,".306","820",NA,".182",".342",NA,"15","0"
"13","12","Indiana Pacers","60","14550",".457","14.1",NA,".605",".262",".179",".096",".068",".395",NA,".538",".685",".436",".417",".409",".335",NA,".498",".860",NA,".040","192",NA,".302","955",NA,".252",".367",NA,"18","0"
"14","13","Los Angeles Clippers","61","14690",".455","14.9",NA,".608",".207",".182",".118",".102",".392",NA,".514",".686",".456",".443",".350",".363",NA,".493",".818",NA,".051","235",NA,".213","618",NA,".215",".403",NA,"13","0"
"15","14","Los Angeles Lakers","58","14145",".466","14.0",NA,".613",".285",".150",".085",".093",".387",NA,".540",".698",".406",".389",".412",".349",NA,".481",".839",NA,".065","293",NA,".306","908",NA,".218",".379",NA,"5","0"
"16","15","Memphis Grizzlies","60","14475",".459","12.9",NA,".652",".272",".230",".107",".043",".348",NA,".522",".667",".416",".442",".374",".341",NA,".500",".850",NA,".054","269",NA,".277","862",NA,".236",".367",NA,"7","0"
"17","16","Miami Heat","59","14335",".460","14.8",NA,".581",".228",".182",".108",".064",".419",NA,".522",".688",".413",".428",".399",".373",NA,".546",".864",NA,".049","218",NA,".243","697",NA,".306",".414",NA,"17","0"
"18","17","Milwaukee Bucks","60","14450",".460","15.3",NA,".560",".228",".162",".105",".065",".440",NA,".539",".708",".422",".442",".393",".361",NA,".449",".800",NA,".045","212",NA,".246","769",NA,".240",".386",NA,"7","0"
"19","18","Minnesota Timberwolves","59","14260",".447","14.5",NA,".547",".263",".176",".060",".048",".453",NA,".529",".665",".409",".404",".382",".347",NA,".514",".797",NA,".064","297",NA,".276","803",NA,".219",".360",NA,"14","0"
"20","19","New Orleans Pelicans","59","14210",".447","13.8",NA,".625",".271",".178",".092",".083",".375",NA,".519",".665",".416",".426",".364",".328",NA,".540",".880",NA,".056","258",NA,".295","808",NA,".240",".379",NA,"13","1"
"21","20","New York Knicks","59","14260",".434","14.8",NA,".572",".251",".154",".085",".081",".428",NA,".495",".648",".376",".388",".366",".352",NA,".456",".794",NA,".067","297",NA,".235","614",NA,".206",".379",NA,"6","0"
"22","21","Oklahoma City Thunder","58","13995",".418","14.3",NA,".580",".219",".241",".074",".046",".420",NA,".493",".622",".425",".412",".370",".313",NA,".459",".824",NA,".051","220",NA,".315","816",NA,".205",".356",NA,"5","0"
"23","22","Orlando Magic","60","14425",".433","14.4",NA,".587",".228",".224",".069",".066",".413",NA,".505",".655",".432",".431",".314",".330",NA,".499",".859",NA,".060","280",NA,".267","734",NA,".205",".378",NA,"9","0"
"24","23","Philadelphia 76ers","58","14020",".462","13.9",NA,".639",".233",".199",".127",".081",".361",NA,".523",".694",".416",".428",".440",".355",NA,".488",".837",NA,".046","207",NA,".249","692",NA,".234",".381",NA,"8","0"
"25","24","Phoenix Suns","58","13945",".482","14.2",NA,".651",".186",".227",".145",".093",".349",NA,".547",".702",".509",".483",".427",".360",NA,".550",".839",NA,".054","263",NA,".218","660",NA,".257",".394",NA,"9","0"
"26","25","Portland Trail Blazers","59","14185",".449","14.9",NA,".564",".256",".163",".069",".076",".436",NA,".521",".621",".441",".441",".425",".356",NA,".486",".777",NA,".043","191",NA,".269","741",NA,".208",".385",NA,"5","0"
"27","26","Sacramento Kings","60","14475",".456","13.9",NA,".620",".230",".218",".105",".067",".380",NA,".525",".700",".419",".420",".433",".345",NA,".490",".788",NA,".063","281",NA,".256","750",NA,".222",".381",NA,"12","1"
"28","27","San Antonio Spurs","59","14235",".466","13.2",NA,".663",".235",".232",".128",".067",".337",NA,".523",".663",".454",".457",".396",".354",NA,".552",".916",NA,".037","179",NA,".292","892",NA,".233",".377",NA,"6","1"
"29","28","Toronto Raptors","57","13805",".443","14.6",NA,".617",".216",".200",".104",".098",".383",NA,".498",".652",".432",".403",".391",".354",NA,".439",".787",NA,".056","249",NA,".243","663",NA,".222",".406",NA,"12","2"
"30","29","Utah Jazz","58","13920",".473","15.0",NA,".532",".204",".236",".066",".026",".468",NA,".571",".737",".486",".435",".397",".361",NA,".452",".722",NA,".070","314",NA,".251","720",NA,".236",".384",NA,"10","1"
"31","30","Washington Wizards","58","14020",".464","13.7",NA,".640",".231",".238",".102",".070",".360",NA,".541",".727",".447",".432",".402",".328",NA,".521",".837",NA,".063","281",NA,".294","840",NA,".251",".388",NA,"6","0"
"32","","League Average","59","14205",".456","14.4",NA,".600",".241",".192",".095",".072",".400",NA,".528",".680",".434",".428",".401",".349",NA,".509",".820",NA,".056","258",NA,".265","761",NA,".234",".379",NA,"10.5","0.3"
