"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","58","14","54","18","8.40","-0.74","7.67","115.1","106.6","+8.5","99.5",".224",".354",".583",NA,".551","11.6","22.4",".179",NA,".507","13.0","77.4",".188",NA,"Phoenix Suns Arena","611,958","16,104"
"3","2","Utah Jazz","29.3","45","27","50","22","6.57","-0.49","6.08","116.6","109.9","+6.7","97.5",".267",".471",".592",NA,".558","12.9","25.0",".207",NA,".517","10.9","78.3",".163",NA,"Vivint Smart Home Arena","677,322","18,306"
"4","3","Boston Celtics","26.1","45","28","51","22","6.37","-0.55","5.82","113.0","106.5","+6.5","96.4",".242",".421",".571",NA,".533","12.3","23.9",".197",NA,".499","12.5","77.3",".183",NA,"TD Garden","670,460","18,624"
"5","4","Golden State Warriors","27.6","47","25","49","23","5.90","-0.17","5.73","112.3","106.3","+6.0","98.5",".233",".460",".580",NA,".551","13.5","22.9",".177",NA,".508","13.2","78.8",".198",NA,"Chase Center","686,432","18,064"
"6","5","Memphis Grizzlies","24.0","49","23","48","24","5.32","-0.69","4.63","114.0","108.8","+5.2","100.1",".246",".344",".550",NA,".519","11.2","30.0",".180",NA,".521","13.2","77.7",".192",NA,"FedEx Forum","525,539","15,457"
"7","6","Miami Heat","28.1","47","25","46","26","4.57","-0.33","4.24","113.1","108.3","+4.8","95.8",".249",".418",".578",NA,".540","13.3","24.0",".202",NA,".522","13.9","78.1",".206",NA,"FTX Arena","686,768","19,622"
"8","7","Milwaukee Bucks","28.4","45","27","45","27","3.97","-0.28","3.69","115.0","111.0","+4.0","99.8",".256",".436",".580",NA,".546","11.9","23.1",".198",NA,".531","11.7","78.5",".166",NA,"Fiserv Forum","643,592","17,394"
"9","8","Minnesota Timberwolves","24.1","42","31","44","29","3.45","-0.21","3.24","113.9","110.5","+3.4","100.7",".252",".456",".570",NA,".535","12.5","24.7",".195",NA,".528","14.3","75.1",".228",NA,"Target Center","571,468","15,874"
"10","9","Cleveland Cavaliers","24.7","41","31","43","29","2.79","-0.11","2.69","111.4","108.5","+2.9","96.2",".258",".387",".569",NA,".536","13.4","24.1",".196",NA,".516","12.5","76.4",".165",NA,"Rocket Mortgage Fieldhouse","661,068","18,363"
"11","10","Denver Nuggets","27.7","43","30","42","31","2.58","-0.14","2.44","113.8","111.1","+2.7","97.5",".238",".420",".585",NA,".552","13.1","21.6",".189",NA,".534","11.8","78.1",".184",NA,"Ball Arena","580,533","16,587"
"12","11","Dallas Mavericks","26.7","44","28","42","30","2.51","0.01","2.53","111.4","108.8","+2.6","95.3",".243",".435",".564",NA,".531","11.7","21.4",".186",NA,".520","12.4","77.8",".182",NA,"American Airlines Center","707,008","19,639"
"13","12","Philadelphia 76ers","26.7","44","27","40","31","1.99","0.04","2.02","112.4","110.3","+2.1","95.8",".279",".373",".572",NA,".528","11.5","19.8",".229",NA,".520","12.0","76.5",".191",NA,"Wells Fargo Center","761,261","20,575"
"14","13","Toronto Raptors","24.7","40","32","39","33","1.32","0.09","1.41","112.2","110.8","+1.4","96.0",".235",".372",".540",NA,".507","11.1","28.5",".177",NA,".535","14.4","75.5",".201",NA,"Scotiabank Arena","388,943","11,786"
"15","14","Atlanta Hawks","26.2","36","36","38","34","0.88","0.20","1.07","115.7","114.9","+0.8","97.5",".252",".384",".577",NA,".539","10.9","22.9",".204",NA,".542","11.4","76.9",".175",NA,"State Farm Arena","602,020","16,271"
