"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Charlotte Hornets",50,242,42.7,91.9,0.465,14.1,38.2,0.369,28.6,53.8,0.532,15.4,21,0.737,10.5,33.7,44.2,27.2,8.7,5.1,13.1,19.6,115
"2",2,"Utah Jazz",50,240,40.5,86,0.471,14.7,40.3,0.364,25.9,45.7,0.566,18,23.1,0.778,10.2,35.9,46.1,22,7,4.8,14.2,18.9,113.7
"3",3,"Phoenix Suns",48,240.5,42.6,89.3,0.477,11.6,31.7,0.367,31,57.7,0.537,16,20.1,0.795,10.1,35.9,46.1,26.4,8.6,4.3,13.4,19.5,112.8
"4",4,"Brooklyn Nets",48,241,41.8,88.2,0.473,11.1,31.5,0.351,30.7,56.7,0.541,17.4,21.2,0.822,9.9,35.5,45.4,25.5,7,5.4,14.3,20,112
"5",5,"Milwaukee Bucks",51,241,40.4,89,0.454,14.2,39.4,0.36,26.2,49.6,0.528,17,21.8,0.782,10.5,36.6,47.1,23,7.8,4.3,13.9,18.1,112
"6",6,"Memphis Grizzlies",51,241,42.3,92.7,0.456,11,32.6,0.338,31.3,60.1,0.52,16.3,22.1,0.739,13.4,34.7,48.1,25,10.2,6.4,13.6,19.1,111.9
"7",7,"Atlanta Hawks",48,240,40.6,87.5,0.464,12.6,33.5,0.375,28.1,54,0.52,17.6,21.9,0.804,9.8,34.5,44.4,24,6.8,4.5,12.3,18.2,111.4
"8",8,"San Antonio Spurs",50,241.5,43.4,93.5,0.464,11,31.4,0.351,32.3,62.1,0.521,13.6,18.4,0.737,11.3,34.7,46,27.9,7.6,5.2,12.6,17.8,111.3
"9",9,"Minnesota Timberwolves",49,241.5,40.4,91.4,0.442,14.2,41.7,0.34,26.2,49.8,0.526,16.3,21.5,0.76,12.2,32.8,45,24.2,8.8,5.9,14.8,22,111.3
"10",10,"Los Angeles Lakers",50,244,41.3,89.3,0.463,12,34.7,0.347,29.3,54.6,0.536,16.1,21.8,0.74,9.5,35.2,44.7,23.9,8.2,5.6,14.8,20.2,110.8
"11",11,"Chicago Bulls",48,240,41.2,86.8,0.475,11.3,30.2,0.375,29.9,56.6,0.527,16.9,20.9,0.808,8.9,33.9,42.8,24.1,7.4,4.6,13.3,18.9,110.6
"12",12,"Golden State Warriors",49,241,40.2,86.2,0.466,14.3,39.8,0.359,25.9,46.4,0.557,15.5,20.5,0.757,9.9,36.6,46.6,27.6,9.4,4.9,15.7,20.2,110.2
"13",13,"Sacramento Kings",50,241.5,40.6,89.6,0.453,11.7,34,0.344,28.9,55.7,0.519,16.8,22.3,0.756,10.5,33.8,44.2,22.9,7.1,4.7,13.9,19.3,109.7
"14",14,"Miami Heat",49,241,39.3,85.2,0.461,13.6,35.9,0.378,25.7,49.3,0.522,16.6,20.4,0.813,10.7,33.8,44.5,25.8,7.3,3.3,14.6,20.2,108.9
"15",15,"Portland Trail Blazers",49,240.5,39,86.6,0.45,13.7,38,0.361,25.3,48.6,0.52,17.1,22.2,0.769,10,33.7,43.6,22.8,7.6,4.7,13.9,20.1,108.8
"16",16,"Indiana Pacers",50,243,40.3,88.4,0.456,11.7,35.7,0.329,28.6,52.8,0.542,16.3,21.3,0.768,11,33.6,44.6,24.2,7.1,5.8,14.5,20.6,108.7
"17",17,"Denver Nuggets",48,241,40.6,86.6,0.469,12.6,36.1,0.348,28,50.5,0.555,14.8,18.9,0.782,9,34.4,43.4,26.9,7.3,3.7,14.1,19.4,108.5
"18",18,"Houston Rockets",49,240.5,38.7,85.8,0.451,13.2,38.4,0.343,25.6,47.4,0.539,17.7,24.6,0.718,9.6,33.4,43,22.9,7.3,4.7,16.9,20,108.3
"19",19,"Washington Wizards",48,242.1,40.2,86.2,0.466,10.1,31.1,0.324,30.1,55,0.547,17.4,22.4,0.779,9.2,35.3,44.5,24,6.1,5.1,13.4,19,107.9
"20",20,"Philadelphia 76ers",48,241.6,39.4,85.3,0.462,11,31.2,0.354,28.4,54.1,0.525,17.8,21.9,0.812,8.5,33.8,42.3,22.9,7.8,5.7,12.4,19,107.7
"21",21,"Boston Celtics",50,244,39.1,87.8,0.446,12.3,36.2,0.34,26.8,51.6,0.52,17.2,20.9,0.822,10.9,35.5,46.3,22.9,7.3,5.8,14.1,18.8,107.7
"22",22,"Toronto Raptors",46,240.5,39.7,90.8,0.438,12.1,35,0.344,27.7,55.7,0.496,15.6,20.7,0.754,13.3,31.3,44.7,21.9,9.2,4.8,12.7,19.9,107.1
"23",23,"Cleveland Cavaliers",49,240,39.8,85.2,0.467,11.9,34,0.351,27.9,51.3,0.543,15.7,20.7,0.758,10.2,35,45.3,25.5,7.2,4.3,15.1,16.6,107.1
"24",24,"New Orleans Pelicans",48,241,38.6,88,0.439,11,33.1,0.332,27.6,54.8,0.503,17.5,22.3,0.787,11.7,33.9,45.6,24.6,7.5,4.1,14.3,19.6,105.7
"25",25,"Los Angeles Clippers",51,241,39,87.1,0.448,12.4,34.5,0.358,26.6,52.6,0.507,15.4,19.6,0.789,9,34.8,43.8,23.1,7.6,4.5,14.4,18.6,105.7
"26",26,"Dallas Mavericks",49,241,38.8,86.1,0.45,12.1,36.8,0.329,26.7,49.4,0.541,15.8,20.6,0.771,9.4,34.6,44,23.8,7,4,12.6,19.7,105.5
"27",27,"New York Knicks",50,241,37.3,85.5,0.436,13.1,36.7,0.357,24.2,48.9,0.495,16.2,21.7,0.746,11.1,34.5,45.6,21.2,6.9,4.9,13.5,19.6,103.8
"28",28,"Orlando Magic",50,240.5,37.6,87.3,0.43,11.7,35.9,0.327,25.8,51.4,0.502,15.5,19.9,0.782,9.2,34.3,43.5,22.7,6.8,4.9,14.8,20.1,102.4
"29",29,"Detroit Pistons",48,241,36.9,87.7,0.42,11.2,35.2,0.319,25.6,52.5,0.488,17.1,22,0.778,10.3,32.1,42.3,22.3,8,4.9,14.8,21.3,102.1
"30",30,"Oklahoma City Thunder",48,240.5,37.2,89.3,0.416,11.7,37.6,0.312,25.5,51.6,0.493,14.6,19.2,0.762,10.3,35.4,45.8,20.9,7.5,4.6,13.4,18.4,100.8
"31",NA,"League Average",49,241.2,40,88,0.454,12.3,35.4,0.348,27.7,52.7,0.525,16.4,21.2,0.773,10.3,34.4,44.8,24.1,7.7,4.8,14,19.4,108.7
