"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Charlotte Hornets",51,242,42.5,92.1,0.462,14,38.1,0.367,28.5,54,0.529,15.5,21.1,0.735,10.5,33.7,44.3,27.2,8.6,5,13,19.5,114.5
"2",2,"Utah Jazz",51,240,40.5,85.9,0.471,14.7,40.3,0.364,25.8,45.6,0.566,17.9,23.1,0.777,10.2,35.7,45.9,22,7,4.8,14.4,19,113.5
"3",3,"Phoenix Suns",49,240.5,42.7,89.5,0.477,11.6,31.7,0.367,31.1,57.8,0.538,15.9,20,0.794,10.2,35.9,46.1,26.4,8.6,4.2,13.3,19.3,112.9
"4",4,"Memphis Grizzlies",52,241,42.4,92.8,0.456,11.1,32.5,0.34,31.3,60.3,0.519,16.2,21.9,0.74,13.5,34.8,48.3,25,10.1,6.5,13.5,19.2,112
"5",5,"Brooklyn Nets",49,241,41.7,88.4,0.471,11.1,31.4,0.352,30.6,57,0.537,17.4,21.2,0.822,10,35.4,45.5,25.4,7,5.5,14.2,19.9,111.9
"6",6,"Milwaukee Bucks",52,241,40.3,88.8,0.454,14.1,39.2,0.359,26.2,49.6,0.529,17,21.8,0.781,10.4,36.4,46.8,23,7.7,4.3,13.9,17.9,111.8
"7",7,"Atlanta Hawks",49,240,40.8,87.4,0.467,12.5,33.5,0.374,28.3,54,0.524,17.6,22.1,0.799,9.8,34.6,44.4,24.1,6.8,4.4,12.3,18.2,111.7
"8",8,"Minnesota Timberwolves",50,241.5,40.6,91.4,0.444,14.2,41.5,0.342,26.4,49.9,0.529,16.3,21.4,0.761,12.2,32.7,44.9,24.5,8.8,5.8,14.8,21.9,111.6
"9",9,"San Antonio Spurs",51,241.5,43.4,93.6,0.464,11.1,31.5,0.351,32.3,62.1,0.52,13.4,18.2,0.738,11.3,34.6,45.9,27.9,7.5,5.2,12.6,17.7,111.3
"10",10,"Los Angeles Lakers",51,243.9,41.4,89.3,0.464,12.1,34.7,0.349,29.3,54.6,0.538,16,21.8,0.735,9.4,35.1,44.5,24,8.1,5.5,14.8,20.3,111
"11",11,"Chicago Bulls",49,240,41.4,86.9,0.476,11.4,30.2,0.376,30,56.7,0.53,16.9,20.8,0.811,8.8,34,42.8,24.3,7.4,4.6,13.2,18.9,111
"12",12,"Golden State Warriors",50,241,40.2,86.5,0.465,14.3,39.9,0.358,25.9,46.6,0.556,15.5,20.4,0.759,10.1,36.7,46.7,27.6,9.4,5,15.6,20.3,110.2
"13",13,"Sacramento Kings",51,241.5,40.5,89.5,0.452,11.7,34,0.344,28.8,55.5,0.519,16.8,22.2,0.757,10.5,33.7,44.2,22.9,7.1,4.7,13.9,19.4,109.5
"14",14,"Miami Heat",50,242.5,39.4,85.8,0.46,13.6,36.2,0.377,25.8,49.5,0.521,16.6,20.4,0.811,10.9,33.9,44.8,25.8,7.4,3.3,14.8,20.3,109.1
"15",15,"Denver Nuggets",49,241,40.8,86.6,0.471,12.8,36.3,0.352,28.1,50.3,0.557,14.6,18.7,0.781,8.9,34.4,43.3,27.1,7.3,3.7,14,19.3,109
"16",16,"Portland Trail Blazers",50,240.5,39.1,86.5,0.452,13.8,38,0.363,25.3,48.5,0.521,17,22.1,0.768,9.9,33.6,43.5,22.8,7.5,4.7,13.9,19.9,108.9
"17",17,"Indiana Pacers",51,242.9,40.3,88.5,0.456,11.7,35.6,0.328,28.6,52.9,0.542,16.3,21.3,0.766,11,33.7,44.6,24.3,7,5.8,14.4,20.6,108.6
"18",18,"Houston Rockets",49,240.5,38.7,85.8,0.451,13.2,38.4,0.343,25.6,47.4,0.539,17.7,24.6,0.718,9.6,33.4,43,22.9,7.3,4.7,16.9,20,108.3
"19",19,"Boston Celtics",51,243.9,39.2,87.6,0.447,12.3,36.3,0.34,26.9,51.3,0.523,17,20.7,0.82,10.8,35.5,46.3,23,7.2,5.8,14.1,18.8,107.7
"20",20,"Philadelphia 76ers",49,241.5,39.4,85,0.463,11.1,31.2,0.355,28.3,53.8,0.526,17.8,22,0.81,8.4,33.8,42.2,23,7.8,5.6,12.5,19,107.6
"21",21,"Washington Wizards",49,242,40.1,86.1,0.465,10.1,31.1,0.324,30,55,0.545,17.4,22.4,0.777,9.1,35.2,44.3,24.1,6.1,5.1,13.4,18.9,107.6
"22",22,"Toronto Raptors",47,242.1,39.9,91.1,0.438,12.1,35.3,0.345,27.7,55.9,0.496,15.6,20.7,0.755,13.3,31.6,44.8,22,9.3,4.9,12.8,19.9,107.5
"23",23,"Cleveland Cavaliers",50,240,39.7,85.2,0.467,11.9,34,0.351,27.8,51.2,0.543,15.7,20.8,0.755,10.3,34.9,45.2,25.5,7.2,4.3,15,16.6,107.1
"24",24,"Dallas Mavericks",51,241,39,86.2,0.453,12.3,36.7,0.334,26.8,49.5,0.541,15.8,20.5,0.768,9.4,34.6,43.9,23.9,7,4.1,12.5,19.6,106.1
"25",25,"Los Angeles Clippers",52,241,39.1,87,0.449,12.3,34.4,0.359,26.8,52.6,0.508,15.4,19.6,0.79,9,35.2,44.1,23.1,7.5,4.5,14.4,18.7,105.9
"26",26,"New Orleans Pelicans",49,241,38.5,87.9,0.439,11,33.1,0.331,27.6,54.7,0.504,17.5,22.3,0.786,11.7,33.9,45.5,24.6,7.6,4,14.3,19.5,105.6
"27",27,"New York Knicks",50,241,37.3,85.5,0.436,13.1,36.7,0.357,24.2,48.9,0.495,16.2,21.7,0.746,11.1,34.5,45.6,21.2,6.9,4.9,13.5,19.6,103.8
"28",28,"Orlando Magic",51,240.5,37.7,87.3,0.432,11.7,35.8,0.327,25.9,51.4,0.505,15.5,19.8,0.783,9.2,34.2,43.5,22.7,6.8,4.8,14.8,20.1,102.5
"29",29,"Detroit Pistons",49,241,37,87.8,0.421,11.2,35,0.32,25.8,52.8,0.488,17.2,22.1,0.779,10.4,32.1,42.4,22.3,8,4.8,14.6,21.3,102.3
"30",30,"Oklahoma City Thunder",48,240.5,37.2,89.3,0.416,11.7,37.6,0.312,25.5,51.6,0.493,14.6,19.2,0.762,10.3,35.4,45.8,20.9,7.5,4.6,13.4,18.4,100.8
"31",NA,"League Average",50,241.3,40,88,0.455,12.3,35.4,0.349,27.7,52.7,0.526,16.3,21.2,0.772,10.3,34.4,44.8,24.1,7.7,4.8,14,19.4,108.7
