"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Cleveland Cavaliers",53,240,38.7,87.6,0.441,11.4,33.7,0.337,27.3,53.9,0.506,13.8,18.3,0.753,10.9,32.6,43.5,23.1,8.7,4.6,13.7,19.1,102.4
"2",2,"Golden State Warriors",53,240.9,37.1,86.4,0.429,11.9,36.1,0.33,25.2,50.3,0.5,16.7,22.1,0.753,9.5,32.6,42.2,22.2,8.3,4.1,15.2,17.7,102.7
"3",3,"Dallas Mavericks",53,241.4,38.7,85,0.455,10.9,32.3,0.339,27.8,52.7,0.527,15.3,20.2,0.757,9.2,35.1,44.2,23.5,6.9,3.9,13.7,19.9,103.6
"4",4,"Boston Celtics",54,243.7,38.2,88.1,0.434,12,35.1,0.343,26.2,53,0.494,15.9,20.5,0.777,10.3,34.4,44.8,21.7,7.6,4.7,13.9,19.3,104.4
"5",5,"Miami Heat",53,242.4,37.1,83.5,0.444,13.5,38.7,0.349,23.6,44.8,0.526,17.1,22.1,0.774,9.5,32,41.5,23.2,7.4,4.4,15.4,20,104.8
"6",6,"New York Knicks",52,241,37.9,86.1,0.441,13.1,37.6,0.348,24.8,48.5,0.512,16,20.9,0.767,9.6,34.1,43.7,24.3,7.4,4.7,12.9,19.4,104.9
"7",7,"Phoenix Suns",51,240.5,39.1,88.6,0.441,11.6,34.4,0.337,27.5,54.3,0.507,15.6,20.9,0.746,10.7,34,44.7,22.4,7.5,4,14.9,19.4,105.5
"8",8,"Philadelphia 76ers",52,241.9,39.2,87,0.45,11.3,33.3,0.341,27.8,53.8,0.517,15.9,20.7,0.769,10.7,34.5,45.2,23.2,6.6,4.6,13.5,18.9,105.6
"9",9,"Toronto Raptors",51,242.5,38.7,84.2,0.46,12.3,34.4,0.357,26.4,49.7,0.531,17.2,21.4,0.801,10.6,33.8,44.4,24.6,7,5.1,16.1,18.9,106.9
"10",10,"Los Angeles Clippers",54,240.9,40.3,91,0.443,11.4,34.2,0.332,28.9,56.8,0.509,14.9,18.9,0.788,12.1,35.8,47.9,23.9,8,4.3,14,18.8,106.9
