"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","46","11040",".467","14.3",NA,".590",".263",".158",".092",".077",".410",NA,".543",".685",".410",".473",".416",".357",NA,".522",".835",NA,".062","223",NA,".254","588",NA,".236",".359"
"3","2","Boston Celtics","48","11720",".440","14.9",NA,".599",".191",".213",".104",".090",".401",NA,".503",".720",".398",".412",".396",".346",NA,".468",".786",NA,".047","187",NA,".253","559",NA,".209",".362"
"4","3","Brooklyn Nets","46","11090",".440","14.1",NA,".603",".275",".156",".095",".077",".397",NA,".514",".661",".379",".406",".397",".327",NA,".485",".786",NA,".052","186",NA,".276","637",NA,".238",".347"
"5","4","Chicago Bulls","46","11040",".461","13.5",NA,".634",".291",".175",".090",".078",".366",NA,".520",".660",".409",".381",".407",".358",NA,".515",".827",NA,".056","202",NA,".294","642",NA,".214",".425"
"6","5","Charlotte Hornets","47","11380",".462","14.8",NA,".557",".253",".173",".075",".056",".443",NA,".547",".676",".444",".429",".441",".356",NA,".519",".816",NA,".069","256",NA,".255","587",NA,".255",".369"
"7","6","Cleveland Cavaliers","48","11520",".442","13.9",NA,".617",".285",".161",".093",".077",".383",NA,".505",".602",".425",".420",".411",".340",NA,".500",".811",NA,".056","202",NA,".268","590",NA,".238",".357"
"8","7","Dallas Mavericks","47","11330",".450","14.0",NA,".625",".238",".198",".113",".076",".375",NA,".519",".687",".427",".426",".368",".336",NA,".515",".829",NA,".055","188",NA,".251","566",NA,".252",".377"
"9","8","Denver Nuggets","45","10850",".467","14.4",NA,".601",".210",".223",".099",".069",".399",NA,".550",".742",".467",".454",".366",".343",NA,".519",".819",NA,".057","197",NA,".253","585",NA,".241",".379"
"10","9","Detroit Pistons","46","11090",".474","14.0",NA,".614",".243",".215",".088",".067",".386",NA,".541",".678",".472",".414",".438",".366",NA,".530",".827",NA,".060","213",NA,".280","630",NA,".253",".395"
"11","10","Golden State Warriors","47","11330",".427","14.9",NA,".582",".177",".252",".087",".065",".418",NA,".497",".679",".429",".412",".381",".329",NA,".485",".833",NA,".043","161",NA,".270","577",NA,".243",".386"
"12","11","Houston Rockets","47","11305",".469","14.4",NA,".576",".274",".159",".081",".063",".424",NA,".560",".694",".437",".456",".414",".346",NA,".496",".798",NA,".069","256",NA,".261","632",NA,".239",".381"
"13","12","Indiana Pacers","48","11645",".465","13.6",NA,".647",".248",".207",".112",".080",".353",NA,".527",".675",".436",".436",".434",".351",NA,".482",".774",NA,".059","213",NA,".277","633",NA,".210",".373"
"14","13","Los Angeles Clippers","48","11570",".442","13.8",NA,".622",".252",".205",".102",".064",".378",NA,".510",".649",".419",".429",".387",".330",NA,".499",".803",NA,".049","193",NA,".281","656",NA,".217",".331"
