"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Cleveland Cavaliers",59,240,38.6,87.4,0.441,11.4,33.5,0.34,27.2,53.9,0.504,14.1,18.4,0.762,10.9,32.5,43.4,23.1,8.7,4.6,13.8,19.4,102.6
"2",2,"Dallas Mavericks",59,241.3,38.7,85.2,0.455,10.6,31.6,0.335,28.1,53.6,0.525,15.2,20.2,0.755,9.4,34.8,44.2,23.3,6.8,3.8,13.6,20,103.3
"3",3,"Boston Celtics",61,243.3,37.9,88.3,0.429,11.8,35,0.337,26.1,53.4,0.488,16,20.5,0.779,10.5,34.1,44.6,21.6,7.6,4.6,14,19.2,103.5
"4",4,"Golden State Warriors",60,240.8,37.4,86.5,0.432,12,36.1,0.333,25.4,50.4,0.504,16.7,22.3,0.75,9.8,32.9,42.7,22.4,8,4.1,15.1,18,103.6
"5",5,"Miami Heat",59,243,37,83.7,0.442,13.3,38.7,0.343,23.7,45,0.527,17.1,22.3,0.769,9.7,32,41.7,23.2,7.4,4.3,15.3,20.3,104.4
"6",6,"Phoenix Suns",59,240.4,39.2,88.9,0.441,11.4,34.3,0.331,27.8,54.6,0.51,15.8,20.9,0.754,10.5,34,44.5,22.3,7.5,4,14.7,19.2,105.5
"7",7,"Philadelphia 76ers",58,241.7,39.3,87,0.451,11.3,33.3,0.34,28,53.7,0.52,16.2,20.8,0.778,10.5,34.6,45.1,23.1,6.4,4.7,13.3,18.9,106
"8",8,"New York Knicks",59,241.7,38.6,86.8,0.445,13.1,37.7,0.346,25.5,49.1,0.52,16.3,21.3,0.763,9.8,34.5,44.3,24.5,7.2,4.5,12.8,19.7,106.6
"9",9,"Utah Jazz",58,240,40.5,90,0.45,11.8,34.4,0.342,28.8,55.6,0.518,14.1,18.8,0.746,10.1,31.9,42.1,23.1,7.6,4.2,12.2,20,106.9
"10",10,"Toronto Raptors",57,242.2,38.7,84.1,0.46,12.4,35,0.354,26.3,49.1,0.536,17.1,21.4,0.798,10.5,33.8,44.3,25,7,5.1,16.2,18.9,106.9
"11",11,"Los Angeles Clippers",61,240.8,40.6,90.7,0.447,11.6,34.3,0.338,29,56.5,0.514,15,19,0.786,12,35.5,47.6,23.9,7.9,4.2,14.1,18.6,107.7
"12",12,"Denver Nuggets",59,240.8,40.4,86.6,0.466,11.6,34.4,0.338,28.7,52.2,0.551,15.5,20.6,0.754,9.6,33,42.6,24.5,7.9,4.9,13.1,19.3,107.8
"13",13,"Oklahoma City Thunder",59,241.3,40.3,90,0.448,13,38.1,0.341,27.3,51.9,0.526,14.5,19.2,0.756,11.1,37.8,48.9,25.2,8.1,6.3,13.5,17.6,108.1
"14",14,"Memphis Grizzlies",61,241.2,39.9,88.2,0.453,12.5,35.3,0.353,27.5,52.9,0.519,16.8,21.5,0.779,10.1,32.7,42.8,25.2,7.1,6.4,15.2,19.6,109.1
"15",15,"New Orleans Pelicans",59,240.8,40,85.8,0.466,12.9,35.4,0.364,27.1,50.5,0.537,16.7,21.3,0.784,9.4,32.9,42.3,23.9,7.6,4.9,13.4,20.2,109.5
"16",16,"Washington Wizards",58,241.7,40.6,88.8,0.457,10.9,30.9,0.352,29.7,57.9,0.513,17.8,22.3,0.798,10.6,34.2,44.8,23.2,7.4,4.2,11.9,20.2,109.8
"17",17,"Milwaukee Bucks",60,240.8,40.4,90.2,0.448,14.1,41,0.344,26.3,49.2,0.535,14.9,20.1,0.743,10.4,34.6,45,25.2,7.3,4.4,13.5,19.4,109.8
"18",18,"Chicago Bulls",60,240.4,41,88.1,0.466,11.6,32.1,0.362,29.4,56,0.525,16.6,21,0.794,9.4,33.8,43.2,24.9,7.3,5,13.2,17.6,110.3
"19",19,"Brooklyn Nets",60,240.8,40.8,90.5,0.451,12.1,36.3,0.335,28.6,54.2,0.528,17.4,21.7,0.802,11.1,33.7,44.8,23.7,7.8,5.2,13.1,19.3,111.1
"20",20,"San Antonio Spurs",59,241.3,42.4,91.5,0.464,11.6,32.9,0.354,30.8,58.6,0.526,15.1,19.8,0.763,11.4,35.6,47,23.9,7.3,5.2,13.9,18.2,111.7
"21",21,"Minnesota Timberwolves",60,241.7,39.6,87.2,0.455,12.9,37.2,0.347,26.7,50,0.535,19.6,25.3,0.777,11.4,35.3,46.7,25.9,7.3,5.2,16.5,20.7,111.8
"22",22,"Atlanta Hawks",59,240,41.5,89,0.467,13.1,36.2,0.361,28.5,52.8,0.539,15.6,19.5,0.8,9.9,33.7,43.6,25.6,7.3,4.6,12.3,20.1,111.8
"23",23,"Orlando Magic",60,240.4,40.9,88.8,0.46,13,35.5,0.365,27.9,53.3,0.524,17.3,22.2,0.777,10.6,36.3,47,24.8,8,5.3,13.4,18.4,112
"24",24,"Indiana Pacers",60,242.5,41.3,87.3,0.473,11.4,31.4,0.362,29.9,55.9,0.535,18.1,22.7,0.795,9.9,33.2,43.1,23.6,7.9,4.9,13.1,19.6,112
"25",25,"Los Angeles Lakers",58,243.9,41.3,90.5,0.456,12.6,36.6,0.344,28.7,53.9,0.532,17.3,23.1,0.747,11.1,35.9,47.1,25.7,8.3,4,14.5,20.1,112.4
"26",26,"Portland Trail Blazers",60,240.4,40.8,86.2,0.473,13.7,36.9,0.371,27.1,49.4,0.548,17.1,22.5,0.761,9.1,34.6,43.7,26,7.6,4.7,13.6,19.8,112.4
"27",27,"Detroit Pistons",59,240.8,40.8,85.8,0.475,12.4,33.1,0.374,28.4,52.8,0.538,18.5,24,0.771,10.1,36.6,46.7,25.5,7.6,5.2,15.2,20,112.4
"28",28,"Charlotte Hornets",60,242.9,41.8,90.4,0.463,14,39.3,0.356,27.8,51.2,0.544,17.1,22.4,0.762,11.2,36.7,47.9,26.2,7.6,4.9,15.3,19.7,114.7
"29",29,"Sacramento Kings",61,241.2,43.4,91,0.476,12.4,34.2,0.363,31,56.8,0.545,16,20.6,0.776,10.8,35,45.8,25,8,5.1,13.2,19.2,115.1
"30",30,"Houston Rockets",58,240.4,43.3,89.6,0.483,13.2,37.2,0.355,30.1,52.4,0.574,18.3,23.3,0.784,10.7,34.3,45,25.7,9.8,5.8,14,22.5,118.1
"31",NA,"League Average",59,241.3,40.2,88.2,0.456,12.3,35.3,0.349,27.9,52.9,0.528,16.5,21.3,0.772,10.4,34.4,44.8,24.3,7.6,4.8,13.9,19.4,109.2
