"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","48","11520",".464","15.0",NA,".617",".245",".165",".111",".096",".383",NA,".520",".661",".424",".426",".433",".375",NA,".521",".746",NA,".055","215",NA,".241","552",NA,".222",".384",NA,"11","1"
"3","2","Boston Celtics","50","12200",".446","15.4",NA,".588",".204",".204",".090",".090",".412",NA,".520",".713",".436",".374",".420",".340",NA,".478",".818",NA,".049","192",NA,".274","674",NA,".226",".374",NA,"9","0"
"4","3","Brooklyn Nets","48","11570",".473","13.7",NA,".643",".264",".157",".131",".092",".357",NA,".541",".642",".428",".505",".494",".351",NA,".566",".738",NA,".048","178",NA,".264","599",NA,".238",".350",NA,"2","0"
"5","4","Chicago Bulls","48","11520",".475","14.1",NA,".652",".251",".149",".129",".123",".348",NA,".527",".668",".422",".456",".442",".375",NA,".484",".847",NA,".048","176",NA,".250","585",NA,".270",".437",NA,"9","1"
"6","5","Charlotte Hornets","50","12100",".465","14.1",NA,".585",".274",".182",".075",".054",".415",NA,".532",".690",".376",".406",".431",".369",NA,".533",".850",NA,".071","292",NA,".281","683",NA,".266",".366",NA,"11","0"
"7","6","Cleveland Cavaliers","49","11760",".467","14.1",NA,".601",".271",".177",".097",".056",".399",NA,".543",".706",".401",".428",".409",".351",NA,".566",".818",NA,".080","298",NA,".236","545",NA,".233",".332",NA,"7","1"
"8","7","Dallas Mavericks","49","11810",".450","15.4",NA,".573",".202",".166",".118",".086",".427",NA,".541",".720",".449",".464",".403",".329",NA,".522",".815",NA,".064","235",NA,".193","471",NA,".237",".377",NA,"10","0"
"9","8","Denver Nuggets","48","11570",".469","14.6",NA,".583",".230",".198",".081",".074",".417",NA,".555",".742",".453",".414",".404",".348",NA,".577",".851",NA,".054","196",NA,".267","657",NA,".251",".377",NA,"14","0"
"10","9","Detroit Pistons","48","11570",".420","14.3",NA,".598",".236",".208",".081",".074",".402",NA,".488",".640",".421",".327",".365",".319",NA,".485",".874",NA,".036","137",NA,".302","677",NA,".245",".343",NA,"15","0"
"11","10","Golden State Warriors","49","11810",".466","15.5",NA,".538",".219",".195",".062",".062",".462",NA,".557",".700",".512",".376",".377",".359",NA,".623",".805",NA,".063","243",NA,".286","717",NA,".219",".351",NA,"13","1"
"12","11","Houston Rockets","49","11785",".451","14.1",NA,".553",".314",".173",".035",".031",".447",NA,".539",".683",".374",".299",".269",".343",NA,".488",".794",NA,".083","305",NA,".312","709",NA,".179",".344",NA,"14","0"
"13","12","Indiana Pacers","50","12150",".456","14.3",NA,".597",".252",".181",".096",".067",".403",NA,".542",".693",".444",".409",".426",".329",NA,".494",".862",NA,".037","146",NA,".298","795",NA,".245",".371",NA,"15","0"
"14","13","Los Angeles Clippers","51","12290",".448","15.0",NA,".604",".207",".176",".117",".103",".396",NA,".507",".672",".450",".428",".359",".358",NA,".490",".816",NA,".051","195",NA,".213","505",NA,".219",".390",NA,"11","0"
"15","14","Los Angeles Lakers","50","12200",".463","14.2",NA,".612",".283",".146",".085",".097",".388",NA,".536",".695",".395",".397",".407",".347",NA,".475",".834",NA,".063","246",NA,".303","773",NA,".216",".380",NA,"4","0"
"16","15","Memphis Grizzlies","51","12290",".456","13.0",NA,".649",".264",".232",".109",".043",".351",NA,".520",".668",".420",".438",".356",".338",NA,".502",".847",NA,".052","218",NA,".275","724",NA,".230",".377",NA,"6","0"
"17","16","Miami Heat","49","11810",".461","14.8",NA,".578",".223",".178",".112",".066",".422",NA,".522",".687",".417",".424",".412",".378",NA,".549",".860",NA,".046","175",NA,".240","571",NA,".303",".414",NA,"13","0"
"18","17","Milwaukee Bucks","51","12290",".454","15.3",NA,".557",".229",".157",".106",".065",".443",NA,".528",".701",".394",".444",".381",".360",NA,".444",".802",NA,".045","175",NA,".249","653",NA,".240",".381",NA,"6","0"
