"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.7","49","11","44","16","7.95","-0.47","7.48","114.0","106.0","+8.0","99.5",".226",".352",".577",NA,".545","11.7","22.6",".179",NA,".504","13.0","77.4",".181",NA,"Phoenix Suns Arena","509,532","15,923"
"3","2","Golden State Warriors","27.9","43","17","43","17","7.42","-0.32","7.10","112.2","104.7","+7.5","98.6",".238",".464",".581",NA,".551","13.7","22.8",".182",NA,".502","13.6","78.7",".193",NA,"Chase Center","578,048","18,064"
"4","3","Utah Jazz","29.5","37","22","42","17","6.83","-0.37","6.46","116.4","109.4","+7.0","97.7",".265",".469",".593",NA,".559","13.0","24.3",".208",NA,".517","11.0","78.0",".155",NA,"Vivint Smart Home Arena","585,792","18,306"
"5","4","Boston Celtics","26.0","36","26","42","20","5.74","-0.66","5.09","111.5","105.6","+5.9","96.7",".240",".418",".565",NA,".527","12.7","23.8",".195",NA,".495","12.6","77.3",".182",NA,"TD Garden","574,680","18,538"
"6","5","Miami Heat","28.2","40","21","39","22","4.64","-0.40","4.24","113.0","108.2","+4.8","95.7",".248",".417",".577",NA,".540","13.5","24.8",".200",NA,".523","14.2","77.9",".206",NA,"FTX Arena","529,781","19,622"
"7","6","Memphis Grizzlies","23.9","42","20","40","22","4.71","-0.12","4.59","113.5","108.8","+4.7","99.8",".249",".346",".548",NA,".516","11.4","30.1",".183",NA,".522","13.4","77.7",".191",NA,"FedEx Forum","457,312","15,244"
"8","7","Cleveland Cavaliers","24.8","36","24","38","22","4.05","-0.25","3.80","110.6","106.4","+4.2","96.2",".249",".391",".565",NA,".534","13.6","24.1",".188",NA,".506","12.7","76.1",".159",NA,"Rocket Mortgage Fieldhouse","507,726","18,133"
"9","8","Dallas Mavericks","26.7","35","25","36","24","3.22","-0.13","3.09","111.1","107.8","+3.3","95.5",".238",".431",".562",NA,".529","11.7","21.3",".183",NA,".519","12.7","78.3",".180",NA,"American Airlines Center","606,383","19,561"
"10","9","Milwaukee Bucks","28.4","36","25","37","24","3.25","-0.74","2.51","113.6","110.3","+3.3","99.4",".250",".441",".574",NA,".541","12.1","22.7",".193",NA,".527","11.9","77.6",".167",NA,"Fiserv Forum","556,091","17,378"
