"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Dallas Mavericks",68,241.1,38.8,85.1,0.455,10.7,31.8,0.335,28.1,53.3,0.527,15.3,20.3,0.755,9.4,34.7,44.1,23.2,6.9,3.8,13.6,20.1,103.5
"2",2,"Cleveland Cavaliers",68,240.4,39,87.4,0.446,11.5,33.2,0.347,27.4,54.1,0.507,14.3,18.6,0.766,10.6,32.4,43,23.5,8.7,4.7,13.7,19.9,103.8
"3",3,"Boston Celtics",69,242.9,38,88.1,0.431,11.7,34.7,0.338,26.3,53.4,0.493,16.2,20.6,0.785,10.5,34,44.5,21.5,7.5,4.6,14,19.3,103.9
"4",4,"Miami Heat",69,242.5,37.2,84,0.443,13,38.2,0.341,24.2,45.7,0.529,17.4,22.4,0.776,9.6,32.2,41.8,23.1,7.4,4.2,15.3,20.7,104.8
"5",5,"Golden State Warriors",69,240.7,37.9,86.5,0.438,12.2,36.1,0.338,25.7,50.4,0.51,17.1,22.7,0.754,9.6,32.9,42.6,22.8,8,4,14.8,18,105
"6",6,"Phoenix Suns",68,240.4,39.1,88.7,0.441,11.5,34.3,0.335,27.6,54.5,0.507,16.4,21.6,0.758,10.5,34.1,44.5,22.4,7.5,4,14.7,19,106.1
"7",7,"Philadelphia 76ers",67,241.9,39.5,86.8,0.455,11.4,33.2,0.343,28.1,53.6,0.524,16.3,21.2,0.77,10.3,34.6,44.9,23.3,6.5,4.7,13.3,19.6,106.7
"8",8,"New York Knicks",68,241.5,38.5,86.6,0.445,12.8,37.2,0.344,25.8,49.5,0.521,17.2,22.5,0.762,9.6,34.4,44,24.3,7.2,4.7,12.5,20.2,107
"9",9,"Toronto Raptors",68,241.8,39,84.4,0.462,12.3,34.9,0.351,26.8,49.6,0.54,17,21.4,0.796,10.4,34,44.4,25.1,6.8,5.2,16,19.4,107.3
"10",10,"Utah Jazz",68,240.4,40.6,89.9,0.451,11.9,34.8,0.342,28.7,55.1,0.52,14.6,19.4,0.753,10,31.8,41.9,23,7.8,4.3,12,20.2,107.6
